15.0 1.316981 13 0.026507686243594786
15.1 1.323799 13 0.026958618878196727
15.2 1.330611 13 0.027407246606899305
15.3 1.337418 13 0.02785005033855148
15.4 1.344218 13 0.028283259699068086
15.5 1.351013 13 0.0287157607304378
15.6 1.357802 13 0.029141277597263926
15.7 1.364585 13 0.0295617545409661
15.8 1.371363 13 0.029975112674365367
15.9 1.378135 13 0.030387372555389036
16.0 1.384901 13 0.030792935157987422
16.1 1.394328 13 0.031469455332620466
16.2 1.403743 13 0.03214165444890671
16.3 1.413148 13 0.03280850201927099
16.4 1.422542 13 0.0334680350204446
16.5 1.431924 13 0.034122931183249716
16.6 1.441296 13 0.03477005851627846
16.7 1.450658 13 0.035413449713825984
16.8 1.460008 13 0.03605132364256458
16.9 1.469347 13 0.03668596220219866
17.0 1.478676 13 0.037312367373681155
17.1 1.487994 13 0.03793188501431877
17.2 1.497302 13 0.0385434335414484
17.3 1.506599 13 0.039158463097605956
17.4 1.515885 13 0.03976527290592802
17.5 1.525161 13 0.040368821292775636
17.6 1.534427 13 0.040962125670672034
17.7 1.543682 13 0.04155531298227133
17.8 1.552926 13 0.04214212510456761
17.9 1.56216 13 0.04272122224954267
18.0 1.571384 13 0.043299121740563495
18.1 1.579714 13 0.04366831551722439
18.2 1.588035 13 0.04403995095022539
18.3 1.596348 13 0.044405474918613574
18.4 1.604653 13 0.044765714861102035
18.5 1.612949 13 0.04511999886029128
18.6 1.621238 13 0.04547082597226593
18.7 1.629517 13 0.04581298492632291
18.8 1.637789 13 0.046156540366034005
18.9 1.646052 13 0.04649685174584994
19.0 1.654307 13 0.046824181308186
19.1 1.662554 13 0.04715308254117334
19.2 1.670793 13 0.047475423682044715
19.3 1.679024 13 0.047793071226417516
19.4 1.687246 13 0.04811014477643505
19.5 1.695461 13 0.04841740135857786
19.6 1.703667 13 0.04873034062411774
19.7 1.711865 13 0.049031098713942844
19.8 1.720056 13 0.049331062345798316
19.9 1.728238 13 0.04962427335885444
20.0 1.736412 13 0.049920812841919626
20.1 1.745577 13 0.05048691165482322
20.2 1.754731 13 0.05105063727178771
20.3 1.763876 13 0.051610605964265366
20.4 1.77301 13 0.052171649719876645
20.5 1.782135 13 0.052730696798493404
20.6 1.79125 13 0.05328385394642121
20.7 1.800355 13 0.053839583245455014
20.8 1.80945 13 0.05438942511586076
20.9 1.818536 13 0.05493699032263377
21.0 1.827611 13 0.05548332839900283
21.1 1.836678 13 0.05602557705457312
21.2 1.845734 13 0.05657144726404362
21.3 1.854781 13 0.05710971547881427
21.4 1.863818 13 0.05764706200145331
21.5 1.872846 13 0.058184252319888774
21.6 1.881864 13 0.05871702193263051
21.7 1.890872 13 0.05924712281238409
21.8 1.899872 13 0.0597761644234569
21.9 1.908861 13 0.06030656919747468
22.0 1.917842 13 0.0608322189360605
22.1 1.927048 13 0.06132063765190554
22.2 1.936245 13 0.06180654072246661
22.3 1.945431 13 0.06229018108750517
22.4 1.954608 13 0.06277303958215719
22.5 1.963776 13 0.06325087123991191
22.6 1.972933 13 0.06372821165121789
22.7 1.982081 13 0.06420266611854997
22.8 1.991219 13 0.06467298711190395
22.9 2.000348 13 0.0651422653439443
23.0 19.07811 14 1.0
23.1 19.128 14 1.0
23.2 19.17788 14 1.0
23.3 19.22776 14 1.0
23.4 19.27764 14 1.0
23.5 19.32752 14 1.0
23.6 19.3774 14 1.0
23.7 19.42728 14 1.0
23.8 19.47716 14 1.0
23.9 19.52705 14 1.0
24.0 19.57693 14 1.0
